toldWhatToDo,engagerMovingWorker,workerDecidingHowWorkIsDone,whenWorkHasToBeDone,workerDecideWhere,CarryOverValue,Exit,CarryOverFactName
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternStipulated,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternStipulated,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternStipulated,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternStipulated,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,workingPatternStipulated,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,workingPatternStipulated,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
No,No,workingSetInstructions,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
No,No,workingSetInstructions,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,workingSetInstructions,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
No,No,workerCanGetInstructed,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
No,No,workerCanGetInstructed,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,workerCanGetInstructed,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
No,No,WorkerFullyDecides,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
No,No,WorkerFullyDecides,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,WorkerFullyDecides,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,HIGH,FALSE,
No,Yes,workingSetInstructions,workingPatternAgreed,workerLocationFixed,HIGH,FALSE,
No,Yes,workingSetInstructions,noDefinedWorkingPattern,workerLocationFixed,HIGH,FALSE,workPatternImpact
No,Yes,workingSetInstructions,workinPatternAgreedDeadlines,workerLocationFixed,HIGH,FALSE,workPatternImpact
No,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,HIGH,FALSE,
No,Yes,workerCanGetInstructed,workingPatternAgreed,workerLocationFixed,HIGH,FALSE,
No,Yes,workerCanGetInstructed,noDefinedWorkingPattern,workerLocationFixed,HIGH,FALSE,workPatternImpact
No,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,workerLocationFixed,HIGH,FALSE,workPatternImpact
No,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
No,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
No,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,No,workingSetInstructions,workingPatternAgreed,workerLocationFixed,OutOfIR35,TRUE,
Yes,No,workingSetInstructions,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,No,workingSetInstructions,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,No,workerCanGetInstructed,workingPatternAgreed,workerLocationFixed,OutOfIR35,TRUE,
Yes,No,workerCanGetInstructed,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,workerLocationFixed,OutOfIR35,TRUE,
Yes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,workerLocationFixed,OutOfIR35,TRUE,
Yes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,No,WorkerFullyDecides,workingPatternAgreed,workerLocationFixed,OutOfIR35,TRUE,
Yes,No,WorkerFullyDecides,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,workerLocationFixed,OutOfIR35,TRUE,
Yes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternAgreed,workerLocationFixed,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,noDefinedWorkingPattern,workerLocationFixed,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,workerLocationFixed,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternAgreed,workerLocationFixed,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,workerLocationFixed,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,workerLocationFixed,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,workingPatternAgreed,workerLocationFixed,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,workerLocationFixed,MEDIUM,FALSE,workPatternImpact
No,No,workingSetInstructions,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
No,No,workerCanGetInstructed,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
No,No,WorkerFullyDecides,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
No,Yes,workingSetInstructions,workingPatternStipulated,workerLocationFixed,HIGH,FALSE,
No,Yes,workerCanGetInstructed,workingPatternStipulated,workerLocationFixed,HIGH,FALSE,
No,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,No,workingSetInstructions,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,No,workerCanGetInstructed,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,No,workerDecidesToClientSatisfaction,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,No,WorkerFullyDecides,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternStipulated,workerLocationFixed,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternStipulated,workerLocationFixed,HIGH,FALSE,
Sometimes,Yes,workerDecidesToClientSatisfaction,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
Sometimes,Yes,WorkerFullyDecides,workingPatternStipulated,workerLocationFixed,MEDIUM,FALSE,
